,wins,losses,goals,total_yel_card,total_red_card,clean_sheet,goals_conceded,own_goals
Manchester United,25.0,5.0,74.0,46.0,1.0,13.0,34.0,1.0
Arsenal,23.0,6.0,85.0,55.0,3.0,10.0,42.0,4.0
Newcastle United,21.0,11.0,63.0,46.0,3.0,14.0,48.0,2.0
Chelsea,19.0,9.0,68.0,64.0,1.0,13.0,38.0,3.0
Liverpool,18.0,10.0,61.0,46.0,3.0,14.0,41.0,0.0
Everton,17.0,13.0,48.0,55.0,7.0,11.0,49.0,4.0
Blackburn Rovers,16.0,10.0,52.0,61.0,4.0,15.0,43.0,2.0
Manchester City,15.0,17.0,47.0,52.0,6.0,10.0,54.0,0.0
Charlton Athletic,14.0,17.0,45.0,58.0,2.0,8.0,56.0,2.0
Leeds United,14.0,19.0,58.0,69.0,2.0,10.0,57.0,2.0
Tottenham Hotspur,14.0,16.0,51.0,56.0,6.0,5.0,62.0,2.0
Birmingham City,13.0,16.0,41.0,69.0,5.0,9.0,49.0,2.0
Fulham,13.0,16.0,41.0,58.0,6.0,11.0,50.0,3.0
Middlesbrough,13.0,15.0,48.0,49.0,5.0,10.0,44.0,0.0
Southampton,13.0,12.0,43.0,48.0,3.0,13.0,46.0,1.0
Aston Villa,12.0,17.0,42.0,63.0,4.0,9.0,47.0,1.0
Bolton Wanderers,10.0,14.0,41.0,68.0,4.0,10.0,51.0,0.0
West Ham United,10.0,16.0,42.0,66.0,5.0,9.0,59.0,1.0
West Bromwich Albion,6.0,24.0,29.0,54.0,4.0,6.0,65.0,3.0
Sunderland,4.0,27.0,21.0,63.0,1.0,6.0,65.0,4.0
