,wins,losses,goals,total_yel_card,total_red_card,clean_sheet,goals_conceded,own_goals
Manchester United,24.0,6.0,79.0,44.0,3.0,17.0,31.0,1.0
Arsenal,20.0,8.0,63.0,46.0,3.0,17.0,38.0,2.0
Ipswich Town,20.0,12.0,57.0,33.0,2.0,13.0,42.0,1.0
Leeds United,20.0,10.0,64.0,70.0,3.0,11.0,43.0,2.0
Liverpool,20.0,9.0,71.0,49.0,5.0,14.0,39.0,1.0
Chelsea,17.0,11.0,68.0,76.0,2.0,10.0,45.0,0.0
Sunderland,15.0,11.0,46.0,76.0,6.0,13.0,41.0,0.0
Charlton Athletic,14.0,14.0,50.0,45.0,3.0,14.0,57.0,2.0
Leicester City,14.0,18.0,39.0,57.0,2.0,11.0,51.0,0.0
Newcastle United,14.0,15.0,44.0,50.0,5.0,7.0,50.0,0.0
Southampton,14.0,14.0,40.0,49.0,1.0,14.0,48.0,2.0
Aston Villa,13.0,10.0,46.0,63.0,3.0,9.0,43.0,4.0
Tottenham Hotspur,13.0,15.0,47.0,48.0,3.0,11.0,54.0,1.0
Everton,11.0,18.0,45.0,78.0,4.0,6.0,59.0,4.0
Derby County,10.0,16.0,37.0,81.0,3.0,13.0,59.0,3.0
West Ham United,10.0,16.0,45.0,69.0,2.0,8.0,50.0,4.0
Middlesbrough,9.0,14.0,44.0,74.0,6.0,9.0,44.0,2.0
Coventry City,8.0,20.0,36.0,76.0,4.0,6.0,63.0,0.0
Manchester City,8.0,20.0,41.0,69.0,3.0,7.0,65.0,1.0
Bradford City,5.0,22.0,30.0,57.0,1.0,6.0,70.0,2.0
