,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Manchester City,27.0,6.0,83.0,46.0,2.0,599.0,218.0,20.0,10.0,5.0,1.0,73.0,10.0,3.0,57.0,19.0,32.0,69.0,82.0,319.0,498.0,3.0,429.0,231.0,1.0,11.0,8.0,25651.0,38.0,1700.0,4275.0,632.0,247.0,32135.0,60.0,0.0,350.0,2.0,19.0,7.0
Manchester United,21.0,6.0,73.0,64.0,1.0,526.0,213.0,10.0,13.0,10.0,0.0,65.0,8.0,6.0,76.0,13.0,44.0,100.0,116.0,386.0,551.0,3.0,595.0,320.0,2.0,5.0,4.0,20998.0,34.0,1793.0,3080.0,639.0,197.0,28040.0,51.0,0.0,360.0,1.0,12.0,10.0
Leicester City,20.0,12.0,68.0,61.0,0.0,485.0,185.0,13.0,7.0,10.0,1.0,56.0,12.0,4.0,71.0,11.0,50.0,88.0,90.0,438.0,681.0,1.0,629.0,350.0,2.0,5.0,4.0,19577.0,35.0,1984.0,2955.0,649.0,212.0,26725.0,45.0,3.0,322.0,0.0,21.0,8.0
Liverpool,20.0,9.0,68.0,40.0,0.0,608.0,214.0,12.0,15.0,6.0,0.0,62.0,6.0,5.0,65.0,12.0,42.0,100.0,58.0,347.0,526.0,5.0,544.0,248.0,0.0,9.0,4.0,24292.0,44.0,2032.0,3472.0,862.0,257.0,31466.0,68.0,4.0,387.0,1.0,21.0,20.0
Chelsea,19.0,9.0,58.0,50.0,3.0,556.0,210.0,17.0,9.0,8.0,0.0,55.0,3.0,2.0,79.0,18.0,36.0,73.0,83.0,382.0,612.0,3.0,614.0,340.0,1.0,5.0,3.0,24070.0,30.0,1938.0,3889.0,749.0,226.0,31172.0,56.0,2.0,286.0,1.0,21.0,6.0
West Ham United,19.0,11.0,62.0,48.0,3.0,468.0,165.0,23.0,15.0,2.0,0.0,59.0,3.0,6.0,74.0,11.0,47.0,109.0,124.0,437.0,514.0,0.0,729.0,416.0,5.0,5.0,3.0,15152.0,15.0,2142.0,2230.0,775.0,167.0,22059.0,44.0,5.0,318.0,2.0,27.0,12.0
Arsenal,18.0,13.0,55.0,47.0,5.0,459.0,152.0,19.0,7.0,6.0,2.0,52.0,3.0,1.0,61.0,12.0,39.0,96.0,113.0,351.0,456.0,4.0,615.0,328.0,4.0,3.0,2.0,20126.0,34.0,1850.0,3274.0,751.0,207.0,26648.0,33.0,3.0,260.0,1.0,26.0,14.0
Leeds United,18.0,15.0,62.0,61.0,1.0,522.0,199.0,18.0,9.0,4.0,2.0,48.0,14.0,7.0,76.0,12.0,54.0,148.0,149.0,397.0,740.0,1.0,611.0,293.0,2.0,10.0,8.0,18652.0,28.0,2131.0,2666.0,786.0,229.0,26217.0,50.0,2.0,319.0,1.0,28.0,28.0
Tottenham Hotspur,18.0,12.0,68.0,53.0,2.0,443.0,176.0,24.0,10.0,5.0,0.0,58.0,10.0,5.0,45.0,12.0,45.0,114.0,147.0,342.0,636.0,2.0,746.0,409.0,3.0,10.0,10.0,19070.0,28.0,2081.0,2850.0,526.0,168.0,26152.0,43.0,3.0,334.0,0.0,23.0,9.0
Everton,17.0,13.0,47.0,59.0,2.0,400.0,148.0,10.0,15.0,4.0,0.0,44.0,3.0,0.0,65.0,12.0,48.0,114.0,157.0,392.0,640.0,3.0,803.0,408.0,1.0,6.0,3.0,17132.0,28.0,2208.0,2693.0,662.0,167.0,24201.0,37.0,2.0,344.0,0.0,25.0,24.0
Aston Villa,16.0,15.0,55.0,63.0,4.0,520.0,186.0,22.0,7.0,5.0,0.0,47.0,8.0,4.0,71.0,15.0,46.0,142.0,159.0,387.0,530.0,1.0,736.0,389.0,2.0,6.0,5.0,15189.0,12.0,2350.0,2308.0,779.0,213.0,22620.0,45.0,3.0,337.0,1.0,43.0,5.0
Crystal Palace,12.0,18.0,41.0,54.0,2.0,349.0,132.0,10.0,9.0,3.0,1.0,36.0,5.0,3.0,67.0,8.0,66.0,109.0,138.0,397.0,636.0,1.0,727.0,341.0,0.0,4.0,3.0,14067.0,8.0,2041.0,2173.0,533.0,151.0,21227.0,26.0,2.0,402.0,1.0,21.0,22.0
Newcastle United,12.0,17.0,46.0,61.0,3.0,397.0,142.0,13.0,9.0,6.0,1.0,43.0,3.0,3.0,60.0,7.0,62.0,133.0,160.0,362.0,512.0,1.0,876.0,421.0,3.0,5.0,4.0,13116.0,12.0,2304.0,2088.0,652.0,161.0,20065.0,34.0,7.0,297.0,1.0,27.0,35.0
Southampton,12.0,19.0,48.0,52.0,4.0,424.0,168.0,12.0,5.0,5.0,4.0,40.0,8.0,0.0,76.0,9.0,68.0,113.0,95.0,401.0,727.0,6.0,644.0,316.0,2.0,9.0,8.0,17690.0,16.0,2029.0,2983.0,554.0,177.0,24996.0,42.0,2.0,386.0,1.0,31.0,19.0
Wolverhampton Wanderers,12.0,17.0,36.0,53.0,1.0,463.0,154.0,16.0,8.0,4.0,0.0,34.0,3.0,2.0,38.0,10.0,52.0,103.0,117.0,432.0,588.0,3.0,675.0,389.0,3.0,9.0,7.0,17522.0,20.0,2186.0,2943.0,775.0,208.0,24681.0,29.0,5.0,309.0,1.0,24.0,6.0
Burnley,10.0,19.0,33.0,48.0,1.0,384.0,130.0,10.0,8.0,3.0,0.0,28.0,5.0,1.0,80.0,11.0,55.0,126.0,181.0,416.0,507.0,2.0,772.0,392.0,2.0,4.0,3.0,13846.0,10.0,2914.0,2344.0,772.0,172.0,20586.0,40.0,8.0,278.0,0.0,34.0,13.0
