,wins,losses,goals,total_yel_card,total_red_card,clean_sheet,goals_conceded,own_goals
Chelsea,29.0,1.0,72.0,53.0,0.0,25.0,15.0,1.0
Arsenal,25.0,5.0,87.0,45.0,1.0,16.0,36.0,1.0
Manchester United,22.0,5.0,58.0,46.0,5.0,19.0,26.0,2.0
Everton,18.0,13.0,45.0,54.0,4.0,13.0,46.0,0.0
Liverpool,17.0,14.0,52.0,43.0,2.0,7.0,41.0,0.0
Bolton Wanderers,16.0,12.0,49.0,57.0,2.0,8.0,44.0,3.0
Middlesbrough,14.0,11.0,53.0,51.0,2.0,11.0,46.0,1.0
Tottenham Hotspur,14.0,14.0,47.0,53.0,1.0,13.0,41.0,0.0
Manchester City,13.0,12.0,47.0,43.0,3.0,11.0,39.0,2.0
Aston Villa,12.0,15.0,45.0,57.0,2.0,11.0,52.0,0.0
Charlton Athletic,12.0,16.0,42.0,40.0,3.0,12.0,58.0,1.0
Fulham,12.0,18.0,52.0,56.0,7.0,8.0,60.0,4.0
Birmingham City,11.0,15.0,40.0,61.0,3.0,9.0,46.0,0.0
Newcastle United,10.0,14.0,47.0,58.0,5.0,6.0,57.0,2.0
Portsmouth,10.0,19.0,43.0,53.0,2.0,5.0,59.0,3.0
Blackburn Rovers,9.0,14.0,32.0,69.0,6.0,15.0,43.0,1.0
Crystal Palace,7.0,19.0,41.0,59.0,3.0,10.0,62.0,3.0
Norwich City,7.0,19.0,42.0,35.0,2.0,6.0,77.0,2.0
Southampton,6.0,18.0,45.0,44.0,2.0,7.0,66.0,7.0
West Bromwich Albion,6.0,16.0,36.0,40.0,5.0,7.0,61.0,3.0
