,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Arsenal,13.0,1.0,36.0,23.0,1.0,238.0,86.0,6.0,5.0,1.0,0.0,32.0,4.0,2.0,22.0,7.0,12.0,31.0,33.0,112.0,221.0,2.0,237.0,129.0,1.0,4.0,2.0,7934.0,20.0,714.0,1188.0,255.0,84.0,10690.0,23.0,0.0,168.0,0.0,8.0,5.0
Manchester City,10.0,2.0,40.0,11.0,1.0,247.0,88.0,5.0,4.0,3.0,1.0,36.0,5.0,3.0,21.0,6.0,14.0,25.0,26.0,91.0,175.0,0.0,119.0,75.0,1.0,2.0,2.0,9550.0,33.0,657.0,1631.0,307.0,102.0,11768.0,23.0,2.0,112.0,0.0,11.0,4.0
Manchester United,9.0,4.0,23.0,40.0,0.0,210.0,81.0,4.0,3.0,1.0,0.0,20.0,3.0,6.0,34.0,6.0,20.0,41.0,52.0,142.0,239.0,0.0,305.0,174.0,0.0,1.0,1.0,7309.0,37.0,803.0,1183.0,206.0,65.0,9887.0,25.0,3.0,102.0,0.0,8.0,4.0
Newcastle United,9.0,1.0,33.0,25.0,1.0,230.0,84.0,11.0,3.0,3.0,1.0,25.0,9.0,1.0,35.0,8.0,11.0,45.0,62.0,148.0,262.0,0.0,295.0,148.0,0.0,1.0,1.0,6601.0,30.0,867.0,960.0,297.0,104.0,9644.0,24.0,3.0,151.0,0.0,16.0,5.0
Tottenham Hotspur,9.0,4.0,33.0,27.0,1.0,236.0,96.0,9.0,11.0,2.0,0.0,27.0,6.0,3.0,30.0,4.0,23.0,48.0,65.0,147.0,250.0,1.0,263.0,137.0,0.0,1.0,1.0,7975.0,18.0,824.0,1197.0,342.0,102.0,10935.0,21.0,0.0,158.0,1.0,13.0,5.0
Brighton and Hove Albion,7.0,5.0,26.0,21.0,0.0,202.0,81.0,3.0,2.0,3.0,1.0,24.0,2.0,1.0,24.0,4.0,20.0,36.0,38.0,138.0,263.0,0.0,197.0,97.0,3.0,5.0,4.0,7631.0,29.0,820.0,1142.0,281.0,92.0,10323.0,23.0,1.0,125.0,1.0,10.0,5.0
Chelsea,7.0,5.0,19.0,30.0,2.0,171.0,59.0,5.0,2.0,2.0,1.0,15.0,4.0,0.0,30.0,5.0,17.0,51.0,37.0,136.0,281.0,2.0,260.0,127.0,2.0,0.0,0.0,8076.0,20.0,741.0,1319.0,252.0,81.0,10921.0,15.0,5.0,160.0,0.0,10.0,7.0
Liverpool,7.0,4.0,31.0,12.0,1.0,256.0,97.0,11.0,6.0,0.0,0.0,27.0,4.0,2.0,32.0,4.0,19.0,52.0,33.0,134.0,220.0,0.0,221.0,104.0,0.0,3.0,2.0,8968.0,37.0,941.0,1335.0,340.0,111.0,11900.0,37.0,0.0,179.0,1.0,5.0,5.0
Fulham,6.0,6.0,27.0,36.0,1.0,205.0,77.0,4.0,9.0,4.0,0.0,26.0,2.0,2.0,24.0,4.0,26.0,61.0,55.0,117.0,264.0,2.0,271.0,135.0,0.0,3.0,3.0,6529.0,8.0,836.0,971.0,327.0,84.0,9481.0,16.0,2.0,148.0,0.0,15.0,5.0
Aston Villa,5.0,8.0,17.0,37.0,1.0,176.0,66.0,8.0,1.0,2.0,1.0,14.0,3.0,2.0,34.0,3.0,25.0,48.0,51.0,148.0,299.0,0.0,249.0,128.0,3.0,3.0,2.0,6656.0,19.0,890.0,1079.0,271.0,66.0,9575.0,19.0,2.0,145.0,1.0,27.0,2.0
Crystal Palace,5.0,6.0,15.0,34.0,2.0,158.0,53.0,5.0,3.0,0.0,0.0,14.0,1.0,3.0,19.0,3.0,22.0,45.0,58.0,125.0,262.0,1.0,337.0,168.0,2.0,1.0,0.0,6562.0,9.0,854.0,1147.0,182.0,58.0,9469.0,10.0,2.0,200.0,0.0,21.0,10.0
Leicester City,5.0,9.0,25.0,19.0,0.0,177.0,69.0,5.0,1.0,1.0,2.0,16.0,9.0,2.0,25.0,6.0,28.0,48.0,52.0,157.0,292.0,3.0,287.0,159.0,1.0,3.0,2.0,8134.0,26.0,777.0,1246.0,207.0,57.0,10985.0,16.0,1.0,132.0,0.0,13.0,5.0
Bournemouth,4.0,8.0,18.0,24.0,0.0,131.0,55.0,1.0,4.0,0.0,0.0,17.0,1.0,1.0,12.0,4.0,34.0,47.0,76.0,118.0,267.0,0.0,394.0,229.0,2.0,5.0,5.0,5647.0,12.0,774.0,934.0,207.0,62.0,8539.0,7.0,1.0,173.0,0.0,17.0,6.0
Brentford,4.0,4.0,25.0,24.0,0.0,165.0,69.0,5.0,3.0,4.0,1.0,20.0,5.0,3.0,27.0,4.0,27.0,70.0,78.0,147.0,241.0,1.0,310.0,162.0,2.0,1.0,1.0,5910.0,23.0,978.0,906.0,267.0,77.0,8845.0,26.0,2.0,162.0,0.0,24.0,4.0
Leeds United,4.0,7.0,22.0,25.0,2.0,182.0,59.0,3.0,4.0,1.0,0.0,19.0,3.0,2.0,19.0,2.0,26.0,44.0,43.0,145.0,330.0,2.0,243.0,106.0,1.0,1.0,1.0,6099.0,13.0,700.0,938.0,243.0,76.0,8959.0,19.0,5.0,138.0,0.0,11.0,12.0
West Ham United,4.0,10.0,13.0,21.0,0.0,211.0,63.0,6.0,1.0,3.0,0.0,9.0,4.0,0.0,25.0,3.0,20.0,47.0,56.0,161.0,251.0,1.0,291.0,154.0,1.0,4.0,2.0,6592.0,11.0,889.0,956.0,322.0,86.0,9409.0,16.0,0.0,144.0,1.0,13.0,10.0
Everton,3.0,8.0,13.0,34.0,0.0,169.0,58.0,1.0,1.0,0.0,0.0,11.0,2.0,0.0,28.0,4.0,19.0,66.0,75.0,152.0,307.0,1.0,360.0,163.0,0.0,2.0,2.0,6398.0,24.0,972.0,1000.0,256.0,73.0,9472.0,18.0,2.0,141.0,0.0,7.0,11.0
Nottingham Forest,3.0,9.0,11.0,37.0,0.0,155.0,48.0,4.0,3.0,1.0,0.0,10.0,1.0,0.0,25.0,4.0,33.0,58.0,68.0,133.0,268.0,3.0,372.0,173.0,0.0,5.0,2.0,5599.0,15.0,897.0,828.0,246.0,54.0,8467.0,16.0,4.0,135.0,2.0,15.0,7.0
Southampton,3.0,10.0,14.0,25.0,0.0,187.0,61.0,4.0,3.0,0.0,0.0,12.0,2.0,0.0,18.0,1.0,30.0,40.0,60.0,170.0,306.0,5.0,326.0,150.0,2.0,0.0,0.0,6204.0,16.0,918.0,1074.0,299.0,68.0,9404.0,17.0,4.0,167.0,0.0,22.0,8.0
