,wins,losses,goals,total_yel_card,total_red_card,clean_sheet,goals_conceded,own_goals
Chelsea,29.0,5.0,72.0,63.0,5.0,20.0,22.0,0.0
Liverpool,25.0,6.0,57.0,47.0,5.0,22.0,25.0,2.0
Manchester United,25.0,5.0,72.0,58.0,2.0,18.0,34.0,0.0
Arsenal,20.0,11.0,68.0,54.0,2.0,16.0,31.0,0.0
Blackburn Rovers,19.0,13.0,51.0,74.0,6.0,16.0,42.0,1.0
Tottenham Hotspur,18.0,9.0,53.0,49.0,5.0,13.0,38.0,0.0
Newcastle United,17.0,14.0,47.0,65.0,6.0,13.0,42.0,2.0
West Ham United,16.0,15.0,52.0,50.0,2.0,9.0,55.0,0.0
Bolton Wanderers,15.0,12.0,49.0,60.0,4.0,15.0,41.0,1.0
Wigan Athletic,15.0,17.0,45.0,56.0,4.0,10.0,52.0,2.0
Everton,14.0,16.0,34.0,62.0,7.0,13.0,49.0,3.0
Fulham,14.0,18.0,48.0,65.0,2.0,10.0,58.0,6.0
Charlton Athletic,13.0,17.0,41.0,44.0,2.0,13.0,55.0,2.0
Manchester City,13.0,21.0,43.0,64.0,4.0,6.0,48.0,0.0
Middlesbrough,12.0,17.0,48.0,51.0,3.0,10.0,58.0,2.0
Aston Villa,10.0,16.0,42.0,59.0,2.0,11.0,55.0,1.0
Portsmouth,10.0,20.0,37.0,53.0,1.0,5.0,62.0,3.0
Birmingham City,8.0,20.0,28.0,50.0,7.0,10.0,50.0,1.0
West Bromwich Albion,7.0,22.0,31.0,45.0,2.0,10.0,58.0,3.0
Sunderland,3.0,29.0,26.0,67.0,4.0,4.0,69.0,1.0
